tier	campaign	ordinal	job_id	action	receipt_sha256	input_image_sha256	output_disk_bytes	metric_name	metric_value
t15	b930c0b3d0c074d4347c4bcd718fb154	11	20260901-115952-25662-24281	delete output clone	faa527f44ebf62071e66292f4e4e51952329f448cc3796ac9ca88ecff4bfd201	5ad7a304cfec4fe9320784b26b4d6895885361ddef2675d2411a759cb54165f8	68719476736	desktop_elapsed_ms	21626.0
t15	b930c0b3d0c074d4347c4bcd718fb154	12	20260901-115952-25681-16529	delete output clone	6276c8e2f3d05513d6d8e1376618d1fe64379a1db0b2004213f3f80414154846	5ad7a304cfec4fe9320784b26b4d6895885361ddef2675d2411a759cb54165f8	68719476736	desktop_elapsed_ms	22631.0
t15	b930c0b3d0c074d4347c4bcd718fb154	13	20260901-115952-25700-8776	delete output clone	5599b778839d064b5dc316119dc80db6ba6caeece89870b3efcc32bdd7125060	5ad7a304cfec4fe9320784b26b4d6895885361ddef2675d2411a759cb54165f8	68719476736	desktop_elapsed_ms	25820.0
t15	b930c0b3d0c074d4347c4bcd718fb154	14	20260901-115952-25719-1024	delete output clone	6d76e5a20ee54b1025d5d97fe94a9f22e865922a393b7328214e4bab3dcf3f3d	5ad7a304cfec4fe9320784b26b4d6895885361ddef2675d2411a759cb54165f8	68719476736	desktop_elapsed_ms	25197.0
t15	b930c0b3d0c074d4347c4bcd718fb154	15	20260901-115952-25738-26040	delete output clone	9d03d69539493b9f24f3e8c6d791086b98b56fa18862adcfa47e7b9c9895b31f	5ad7a304cfec4fe9320784b26b4d6895885361ddef2675d2411a759cb54165f8	68719476736	desktop_elapsed_ms	23242.0
t15	b930c0b3d0c074d4347c4bcd718fb154	16	20260901-115952-25757-18288	delete output clone	1e6ac2910d80bb4d20887b68e43d1f1969de8f4ceca98003162b0ba3dbaa861c	5ad7a304cfec4fe9320784b26b4d6895885361ddef2675d2411a759cb54165f8	68719476736	desktop_elapsed_ms	26961.0
t15	b930c0b3d0c074d4347c4bcd718fb154	17	20260901-115952-25780-12353	delete output clone	c00a06bfc3cc25e9850ddd83076ceee694f40d21d102a1fa8aed1e24b3ff0aaa	5ad7a304cfec4fe9320784b26b4d6895885361ddef2675d2411a759cb54165f8	68719476736	desktop_elapsed_ms	20952.0
t15	b930c0b3d0c074d4347c4bcd718fb154	18	20260901-115952-25799-4601	delete output clone	891a08e9a8549f18bca38a35291ffaae513d3ed7f3ab92ba2c4cadef835690cb	5ad7a304cfec4fe9320784b26b4d6895885361ddef2675d2411a759cb54165f8	68719476736	desktop_elapsed_ms	22352.0
t15	b930c0b3d0c074d4347c4bcd718fb154	19	20260901-115952-25818-29617	delete output clone	fb01d542296d3dae3842f57cd24aaed5c6f8b5c00efa26ce3b3b0a01e0109b5b	5ad7a304cfec4fe9320784b26b4d6895885361ddef2675d2411a759cb54165f8	68719476736	desktop_elapsed_ms	21418.0
t15	b930c0b3d0c074d4347c4bcd718fb154	20	20260901-115952-25838-5935	delete output clone	2fd22d9e9b90abf2fc90da4851bd2eb9275dc8125e4ad9f5e0712c3abcdc2d8a	5ad7a304cfec4fe9320784b26b4d6895885361ddef2675d2411a759cb54165f8	68719476736	desktop_elapsed_ms	26353.0
t16	a40f06e9d0835f324f413371fed57d75	1	t16-a40f06e9d0835f324f413371fed57d75-001	retain representative	cae1329aae98cabb0e76a0792fb7519edea6595a4d2590cdcc24ad97a4304680	5ad7a304cfec4fe9320784b26b4d6895885361ddef2675d2411a759cb54165f8	68719476736	read_throughput_mib_s	572.672333543208
t16	a40f06e9d0835f324f413371fed57d75	2	t16-a40f06e9d0835f324f413371fed57d75-002	delete output clone	7adcfb7435fa77ae7a72d936dab1134a27ef13b39dea0b6d482ad673e251ab8a	5ad7a304cfec4fe9320784b26b4d6895885361ddef2675d2411a759cb54165f8	68719476736	read_throughput_mib_s	593.1185734386211
t16	a40f06e9d0835f324f413371fed57d75	3	t16-a40f06e9d0835f324f413371fed57d75-003	delete output clone	d7066dc540fc4fdece3ca52aa370d2628b9e6a9ab82379e5a900901ad8f62dc6	5ad7a304cfec4fe9320784b26b4d6895885361ddef2675d2411a759cb54165f8	68719476736	read_throughput_mib_s	568.562691837855
t16	a40f06e9d0835f324f413371fed57d75	4	t16-a40f06e9d0835f324f413371fed57d75-004	delete output clone	2bb2909b9c69e22889c73d9070efc29b2f534396a08464d49dec03bba8471bb7	5ad7a304cfec4fe9320784b26b4d6895885361ddef2675d2411a759cb54165f8	68719476736	read_throughput_mib_s	534.3219494962913
t16	a40f06e9d0835f324f413371fed57d75	5	t16-a40f06e9d0835f324f413371fed57d75-005	delete output clone	7c890603cb830cc8387a92a87f3110d54b71f207c04d5dd77d2fee92b8676286	5ad7a304cfec4fe9320784b26b4d6895885361ddef2675d2411a759cb54165f8	68719476736	read_throughput_mib_s	546.3606581805976
t16	a40f06e9d0835f324f413371fed57d75	6	t16-a40f06e9d0835f324f413371fed57d75-006	delete output clone	9d8b45e97a205dca69d01dd5704a0b11ba6ec811a2c1426880f49e80146acbe1	5ad7a304cfec4fe9320784b26b4d6895885361ddef2675d2411a759cb54165f8	68719476736	read_throughput_mib_s	392.3025890345119
t16	a40f06e9d0835f324f413371fed57d75	7	t16-a40f06e9d0835f324f413371fed57d75-007	delete output clone	50894a33c69b10cf808bd2b4d9d39ea302d0af7e14c6371e9098c2b21b475538	5ad7a304cfec4fe9320784b26b4d6895885361ddef2675d2411a759cb54165f8	68719476736	read_throughput_mib_s	540.7040732679365
t16	a40f06e9d0835f324f413371fed57d75	8	t16-a40f06e9d0835f324f413371fed57d75-008	delete output clone	4b99b067429693b19d56ee2bb1bdd7bc15b383d179b49edf490a92caf61d4f98	5ad7a304cfec4fe9320784b26b4d6895885361ddef2675d2411a759cb54165f8	68719476736	read_throughput_mib_s	530.7416876167756
t16	a40f06e9d0835f324f413371fed57d75	9	t16-a40f06e9d0835f324f413371fed57d75-009	delete output clone	1cc7bd80de5abe63178d68faa40c9fffca5abf42b0fac28a5c501577c9079ac8	5ad7a304cfec4fe9320784b26b4d6895885361ddef2675d2411a759cb54165f8	68719476736	read_throughput_mib_s	564.7684895977471
t16	a40f06e9d0835f324f413371fed57d75	10	t16-a40f06e9d0835f324f413371fed57d75-010	delete output clone	88ccb9d03d0ea038a3c954e293ca11719c7cb47a42e882944d2efec4c233f220	5ad7a304cfec4fe9320784b26b4d6895885361ddef2675d2411a759cb54165f8	68719476736	read_throughput_mib_s	569.2122858371544
t16	a40f06e9d0835f324f413371fed57d75	11	t16-a40f06e9d0835f324f413371fed57d75-011	delete output clone	4b3f0f896290a64e594e971dfce517ffd795241a54e896c1a62d869a407a1d28	5ad7a304cfec4fe9320784b26b4d6895885361ddef2675d2411a759cb54165f8	68719476736	read_throughput_mib_s	266.14170445564474
t16	a40f06e9d0835f324f413371fed57d75	12	t16-a40f06e9d0835f324f413371fed57d75-012	delete output clone	e9b3fc2bdf6a79bd3ebd89b6c4b6fedd34d23954e1e868b91229daeeee124b45	5ad7a304cfec4fe9320784b26b4d6895885361ddef2675d2411a759cb54165f8	68719476736	read_throughput_mib_s	771.8170306958375
t16	a40f06e9d0835f324f413371fed57d75	13	t16-a40f06e9d0835f324f413371fed57d75-013	delete output clone	d6a90d53b00d940555154a79d56c37003e94c0b94fa63e7a618533fbd47e101a	5ad7a304cfec4fe9320784b26b4d6895885361ddef2675d2411a759cb54165f8	68719476736	read_throughput_mib_s	597.396494690705
t16	a40f06e9d0835f324f413371fed57d75	14	t16-a40f06e9d0835f324f413371fed57d75-014	delete output clone	1bb9ff16fc18108370d3c6d7244e5346e8b77479df78d951a18e5c97e75589b0	5ad7a304cfec4fe9320784b26b4d6895885361ddef2675d2411a759cb54165f8	68719476736	read_throughput_mib_s	663.2421178953022
t16	a40f06e9d0835f324f413371fed57d75	15	t16-a40f06e9d0835f324f413371fed57d75-015	delete output clone	ccbff581806031d085734cb55f0fa6e99fbff0b3c60d64721dc0df822c03dfe2	5ad7a304cfec4fe9320784b26b4d6895885361ddef2675d2411a759cb54165f8	68719476736	read_throughput_mib_s	476.6725758822484
t16	a40f06e9d0835f324f413371fed57d75	16	t16-a40f06e9d0835f324f413371fed57d75-016	delete output clone	f936db96ce12e0eb7b350f715c2e7de3674873e546e4e959a1312ab012378be4	5ad7a304cfec4fe9320784b26b4d6895885361ddef2675d2411a759cb54165f8	68719476736	read_throughput_mib_s	640.0495905622396
t16	a40f06e9d0835f324f413371fed57d75	17	t16-a40f06e9d0835f324f413371fed57d75-017	delete output clone	8971852c18eb965a12850b171f925fd50cfba824bc288a34155a1d6e809a10af	5ad7a304cfec4fe9320784b26b4d6895885361ddef2675d2411a759cb54165f8	68719476736	read_throughput_mib_s	466.1693738102495
t16	a40f06e9d0835f324f413371fed57d75	18	t16-a40f06e9d0835f324f413371fed57d75-018	delete output clone	d52242b1ce21bcb3c689051c7aa98d7cee035708aa2a01e840bb8bcc5d484958	5ad7a304cfec4fe9320784b26b4d6895885361ddef2675d2411a759cb54165f8	68719476736	read_throughput_mib_s	545.1479190702966
t16	a40f06e9d0835f324f413371fed57d75	19	t16-a40f06e9d0835f324f413371fed57d75-019	delete output clone	a708d9ddc62fd8d11ede0409b293d8385ab85ff4dc5a8ea6e9dcfdc88685d6ac	5ad7a304cfec4fe9320784b26b4d6895885361ddef2675d2411a759cb54165f8	68719476736	read_throughput_mib_s	447.36345541944826
t16	a40f06e9d0835f324f413371fed57d75	20	t16-a40f06e9d0835f324f413371fed57d75-020	delete output clone	06a06efdc1992962a98d81727e745bf9f6916ddb29a40ee8fe05e089b4e38f9b	5ad7a304cfec4fe9320784b26b4d6895885361ddef2675d2411a759cb54165f8	68719476736	read_throughput_mib_s	427.814248655595
